web-scraper-order,web-scraper-start-url,artifact_links,artifact_links-href,artifact_metadata
1677785065-280,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EC0004,https://digital.libraries.uc.edu/oesper/museum/case16/shelf_01/EC0004/index.php,"Location: Case 16, Electrochemistry (Top shelf, center right)



Item: No. EC0004, Edison-Lalande cell



Inventor: F. Lalande, T. Edison 1890


Dimensions: 51/2"" x 51/2"" x 121/2"" 



Period Represented: c. 1890 



Manufacturer: Molded in ceramic lid:  EDISON LALANDE BATTERY, PAT. JUNE 17 1890 



Source: Donated by the Oberlin College Chemistry Department 



Status: Original



Condition: Good. Some corrosion of the wire mounts"
1677785067-281,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EC0003,https://digital.libraries.uc.edu/oesper/museum/case16/shelf_01/EC0003/index.php,"Location: Case 16, Electrochemistry (Top shelf, center right)



Item: No. EC0003, Leclanché cell 



Inventor: G. Leclanch&eacute;, 1866


Dimensions: 4"" x 4"" x 7"" 



Period Represented:  c. 1910 



Manufacturer: Label reads in part: Economy Carbon Battery, Western Electric, Chicago, New York 



Source: Donated by the Oberlin College Chemistry Department



Status: Original



Condition: Good/Fair. Label is delicate and some of the seals in the lid need replacement"
1677785069-282,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EC0002,https://digital.libraries.uc.edu/oesper/museum/case16/shelf_01/EC0002/index.php,"Location: Case 16, Electrochemistry (Top shelf,center left)



Item: No. EC0002, Daniell gravity cell (Meidinger form)



Inventor: J. F. Daniell, 1836 


Dimensions: 4""x 4""  x 9""



Period Represented: c. 1900 




Source: Donated by the Oberlin College Chemistry Department



Status: Original



Condition: Excellent"
1677785071-283,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EC0001,https://digital.libraries.uc.edu/oesper/museum/case16/shelf_01/EC0001/index.php,"Location: Case 16, Electrochemistry (top shelf, far left)



Item: No. EC0001, Daniell gravity cell (Crowfoot form)



Inventor: J.  F. Daniell, 1836 


Dimensions:  Jar: 6"" x 6"" x 8"" 



Period Represented: c. 1900 




Source: Various: Zinc crowfoot anode donated by Oberlin College Department of Chemistry, battery jar by University of Cincinnati Department of Biology, Cu cathode and wires are modern restorations



Status: Restoration



Condition: Excellent"
1677785073-284,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,MW0005,https://digital.libraries.uc.edu/oesper/museum/case17/shelf_02/MW0005/index.php,"Location: Case 17, Molecular Weight Determination (Bottom shelf, center)



Item: No. MW0005, Dumas vapor-density apparatus



Inventor: J. B. Dumas, 1826


Dimensions: With stand: 7"" x 10"" x 241/2"" 



Period Represented: c. 1850




Source: Various: Dumas bulbs, copper bath and clamps: University of Cincinnati Chemistry Department; Stand: Oesper purchase; Thermometer: Steven Foreen, Wausau WI; Alcohol blast lamp: Frank Meeks, University of Cincinnati




Status: Restoration



Condition: Excellent"
1677785075-285,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,MW0004,https://digital.libraries.uc.edu/oesper/museum/case17/shelf_02/MW0004/index.php,"Location: Case 17, Molecular Weight Determination (Bottom shelf, left)



Item: No. MW0004, Glass balloon with brass stopcock for weighing gases


Dimensions: 9"" x 9"" x 15""



Period Represented: c 1820




Source: Donated by the University of Cincinnati Physics Department



Status: Original



Condition: Excellent"
1677785077-286,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,TT0001,https://digital.libraries.uc.edu/oesper/museum/case06/shelf_03/TT0001/index.php,"Location: Case 06, Basic Apparatus  (Third shelf, center)



Item: No. TT0001, Test tube and reagent rack


Dimensions: 5 3⁄4"" x 6 1⁄4"" x 8 1⁄4""



Period Represented: c. 1900



Manufacturer: Paper label on front edge reads: ""John Bell and Croyden, London WI""



Source: Oesper purchase



Status: Original



Condition: Excellent"
1677785079-287,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,HD0010,https://digital.libraries.uc.edu/oesper/museum/case15/shelf_02/HD0010/index.php,"Location: Case 15, Hardware (bottom shelf, center right)



Item: No. HD0010, Adjustable wood support table or lab jack


Dimensions: 6"" x 6"" x 14"" 



Period Represented: c. 1850




Source: Donated by the Capital University, Columbus OH. 



Status: Original



Condition: Good. Some chemical staining and charring"
1677785081-288,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,HD0005-HD0007,https://digital.libraries.uc.edu/oesper/museum/case15/shelf_01/HD0005-HD0007/index.php,"Location: Case 15, Hardware (top shelf, far right)



Item: No. HD0005-HD0007, Assorted laboratory stirring devices


Dimensions: Entire array: 8"" x 10"" x 21""



Period Represented: Water motor and stirrer: c. 1890; electric stirrer: c. 1930, compressed air stirrer: c. 1940 



Manufacturer: Label on electric motor: Central Scientific Company, CENCO, Chicago 



Source: Water motor donated by Ohio College of Applied Science; wooden stirring mechanism by Macalester College, St Paul, MN; compressed air and electric stirrers by the University of Cincinnati Chemistry Department 




Status: Original



Condition: Excellent"
1677785083-289,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,MD0006,https://digital.libraries.uc.edu/oesper/museum/case18/shelf_02/MD0006/index.php,"Location: Case 18, Models and Devices  (Second shelf from Top, left)



Item: No. MD0006, Metal Bragg folding stereoviewer for viewing stereoviews of crystal structures and printed booklet of hand-drawn stereoviews of crystal structures



Inventor: W. L. Bragg and W. H. Bragg 1928  


Dimensions: Open viewer: 31⁄2"" x 31⁄2"" x 43⁄4""; Booklet: 71⁄4"" x 71⁄4"" containing 24 Hand-drawn 31⁄2"" x 7"" stereoviews



Period Represented: c. 1920s



Manufacturer: Viewer: Stamped on front: Adam Hilgar LTD, Made in England. Booklet: Stereoskopbilder von Kristallgittern, M. von Laue und M. von Mises, Springer 1926 



Source: Viewer donated by the Obelin College Chemistry Department; Book of stereoviews on loan from William Jensen 



Status: Originals



Condition: Excellent. Though reduced photocopies of the hand-drawn stereoviews from the book by von Laue and von Mises work well with the viewer, the viewer was originally equipped with a set of stereophotographs of ceramic crystal models which are unfortunately missing"
1677785085-290,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0008,https://digital.libraries.uc.edu/oesper/museum/case22/shelf_03/SP0008/index.php,"Location: Case 22, Instrumentation III (Bottom shelf, right foreground)



Item: No. SP0008, Spectroscopic eyepiece for a microscope


Dimensions: 21⁄2"" x 51⁄4"" 



Period Represented: c 1880



Manufacturer: Engraved on side: R & J Beck, London & Philadelphia 



Source: Donated by Oberlin College Chemistry Department



Status: Original 



Condition: Excellent"
1677785087-291,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0007,https://digital.libraries.uc.edu/oesper/museum/case22/shelf_03/SP0007/index.php,"Location: Case 22, Instrumentation III (Bottom shelf, left foreground)



Item: No. SP0007, Hand-held direct-vision spectroscope


Dimensions: Scope: 11⁄2"" x 33⁄4""; Box: 2"" x 31⁄8"" x  45⁄8"" 



Period Represented: c. 1900



Manufacturer: Inside box lid: Franz Schmidt & Haensch, Berlin S. 42.  Engraved on side of scope: Franz Schmidt & Haensch, Berlin S, No. 465, DRP No. 128104 



Source: Oesper Purchase 



Status: Original 



Condition: Excellent"
1677785090-292,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0006,https://digital.libraries.uc.edu/oesper/museum/case22/shelf_03/SP0006/index.php,"Location: Case 22, Instrumentation III (bottom shelf, right)



Item: No. SP0006, Bausch & Lomb wave-length spectrometer


Dimensions: 10"" x 151⁄2"" x 17"" 



Period Represented: c. 1920



Manufacturer: Plate on side reads: Bausch & Lomb Optical Co., Rochester,  NY. USA, No. 410 



Source: Donated by the University of Cincinnati Chemistry Department



Status: Original 



Condition: Good. Some chipping of black enamel and small corrosion marks on outer surface"
1677785092-293,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0005,https://digital.libraries.uc.edu/oesper/museum/case22/shelf_03/SP0005/index.php,"Location: Case 22, Instrumentation III (bottom shelf, left)



Item: No. SP0005, Spectrometer


Dimensions: 11"" x 15"" x 23""



Period Represented: c. 1920



Manufacturer: Engraved on instrument: Wilson, London.  Attached plate: Imported by James G. Riddle, Philadelphia 



Source: Donated by the University of Cincinnati Physics Department 



Status: Original 



Condition: Very good. Original prism has been replaced"
1677785094-294,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0004,https://digital.libraries.uc.edu/oesper/museum/case22/shelf_02/SP0004/index.php,"Location: Case 22, Instrumentation III (Middle shelf, right)



Item: No. SP0004, Bunsen-Kirchhoff spectroscope with gas light for scale



Inventor: Robert Bunsen and Gustav Kirchhoff


Dimensions: 101⁄4"" x 11"" x 141⁄2"" 



Period Represented: c. 1890




Source: Donated by John Alexander, University of Cincinnati 



Status: Original 



Condition: Fair. Extensive tarnishing on brass optical tubes"
1677785096-295,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0003,https://digital.libraries.uc.edu/oesper/museum/case22/shelf_02/SP0003/index.php,"Location: Case 22, Instrumentation III (Middle shelf, left)



Item: No. SP0003, Browning student spectroscope


Dimensions: 11"" x 12"" x 22""



Period Represented: c. 1870




Source: Donated by Oberlin College Chemistry Department



Status: Original 



Condition: Excellent. Some damage to the lid of the prism chamber"
1677785098-296,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0002,https://digital.libraries.uc.edu/oesper/museum/case22/shelf_01/SP0002/index.php,"Location: Case 22, Instrumentation III (Top shelf, right)



Item: No. SP0002, Student demonstration spectroscope with battery operated electric light for the scale




Dimensions: 91⁄4"" x 101⁄2"" x 18"" 



Period Represented: c. 1940



Manufacturer: Label on cover: W. W. Welch Scientific, Chicago, USA 



Source: Donated by the College of Mount St. Joseph, Cincinnati, OH.  



Status: Original 



Condition: Very good"
1677785100-297,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0001,https://digital.libraries.uc.edu/oesper/museum/case22/shelf_01/SP0001/index.php,"Location: Case 22, Instrumentation III (Top shelf, left)



Item: No. SP0001, Spectrometer


Dimensions: 8"" x 15"" x 131⁄2"" 



Period Represented: c. 1930



Manufacturer: Engraved on top of instument: Spencer, Buffalo, USA 



Source: Donated by the University of Cincinnati Physics Department 



Status: Original 



Condition: Very Good. Some corrosion on the prism mount"
1677785102-298,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0015,https://digital.libraries.uc.edu/oesper/museum/table/SP0015/index.php,"Location: Table, Instrumentation IV (Rear, fourth from right)



Item: No. SP0015, Klett-Summerson photoelectric colorimeter


Dimensions: 61⁄4"" x 83⁄4"" x 151⁄4"" 



Period Represented: c. 1940 



Manufacturer: Plate on front reads: Klett-Summerson Photoelectric Colorimeter, Klett MFG Co., N.Y. USA 



Source: Donated by M. G. Mellon, Purdue University 



Status: Original



Condition: Excellent"
1677785104-299,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0014,https://digital.libraries.uc.edu/oesper/museum/table/SP0014/index.php,"Location: Table, Instrumentation IV (Rear, third from right)



Item: No. SP0014, Rouy Photrometer


Dimensions: 61⁄2"" x 83/4"" x 151/4"" 



Period Represented: c 1950 



Manufacturer: Plate on front reads: Rouy Photrometer by Leitz, E. Letiz Inc., New York, NY, Made in USA 



Source: Donated by M. G. Mellon, Purdue University 



Status: Original



Condition: Excellent"
1677785106-300,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0013,https://digital.libraries.uc.edu/oesper/museum/table/SP0013/index.php,"Location: Table, Instrumentation IV (rear, second from right)



Item: No. SP0013, Beckman quartz spectrophotometer



Inventor: Arnold Beckman, 1941


Dimensions: Excluding battery: 7"" x 71⁄2"" x 31"" 



Period Represented: c. 1945 



Manufacturer: Plate on front reads: BECKMAN, Model DU Quartz Spectrophotometer, National Technical Laboratories, Pasadena, California, USA 



Source: Donated by M. G. Mellon, Purdue University 



Status: Original



Condition: Excellent"
1677785108-301,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0012,https://digital.libraries.uc.edu/oesper/museum/table/SP0012/index.php,"Location: Table, Instrumentation IV (Rear, far right)



Item: No. SP0012, Bausch & Lomb universal spectrophotometer


Dimensions: Dimensions: Entire array: 20"" x 271⁄2"" x 48""



Period Represented: c. 1920 



Manufacturer: Bausch and Lomb, no identifying plates 



Source: Donated by M. G. Mellon, Purdue University 



Status: Original



Condition: Excellent"
1677785110-302,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0011,https://digital.libraries.uc.edu/oesper/museum/table/SP0011/index.php,"Location: Table, Instrumentation IV  (Front, third from left)



Item: No. SP0011, Aminco spectrophotometer with external galvanometer 


Dimensions: Spectrophotometer only: 7"" x 111⁄2"" x 13""



Period Represented: c. 1930 



Manufacturer: Plate on front reads: AMINCO



Source: Donated by M. G. Mellon, Purdue University 



Status: Original



Condition: Excellent"
1677785112-303,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0010,https://digital.libraries.uc.edu/oesper/museum/table/SP0010/index.php,"Location: Table, Instrumentation IV (Front, second from left)



Item: No. SP0010, Aminco spectrophotometer with split-field visual readout


Dimensions: 7"" x 111⁄2"" x 18""  



Period Represented: c. 1930 



Manufacturer: Plate on front reads: AMINCO



Source: Donated by M. G. Mellon, Purdue University 



Status: Original



Condition: Excellent"
1677785114-304,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SP0009,https://digital.libraries.uc.edu/oesper/museum/table/SP0009/index.php,"Location: Table, Instrumentation IV (Front, far left)



Item: No. SP0009, Aminco spectrophotometer with external galvanometer


Dimensions: 101⁄2"" x 13"" x 131⁄2""



Period Represented: c. 1930 



Manufacturer: Plate on front reads: AMINCO, American Instrument Co., Silver Spring, Maryland 



Source: Donated by M. G. Mellon, Purdue University 



Status: Original



Condition: Excellent"
1677785116-305,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EX0003,https://digital.libraries.uc.edu/oesper/museum/case14/shelf_01/EX0003/index.php,"Location: Case 14, Separations and Extractions (Top shelf, far right)



Item: No. EX0003, Soxhlet  fat extractor with steam bath



Inventor: F. R. Soxhlet, 1879 


Dimensions: Entire array: 9"" x 111/2"" x 32"" 



Period Represented: c. 1920 




Source: Various: Steam bath and extractor donated by the Tanner’s Laboratory, Cincinnati, OH; burner by De Pauw University, Green Castle, IN; lime-glass reflux condenser by Steven Foreen, Wausau, WI; tripod, stand and clamp by the University of Cincinnati Chemistry Department



Status: Restoration



Condition: Excellent"
1677785118-306,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,MD0003,https://digital.libraries.uc.edu/oesper/museum/case18/shelf_01/MD0003/index.php,"Location: Case 18, Models and Devices  (Top shelf, center)



Item: No. MD0003, Chemical slide-rule



Inventor: W. H. Wollaston, 1814 


Dimensions: 1⁄2"" x 23⁄4"" x 9""



Period Represented: c. 1820 



Source: Donated by William Jensen 



Status: Reproduction by Stephen Jensen



Condition: Excellent"
1677785120-307,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,FL0001,https://digital.libraries.uc.edu/oesper/museum/case14/shelf_01/FL0001/index.php,"Location: Case 14, Separations and Extractions (Top shelf, center foreground)



Item: No. FL0001, Set of nested brass particle sieves


Dimensions: Assembled nest: 4"" x 51/8"" x 51/8"" 



Period Represented: c. 1920 




Source: Donated by the Tanner’s Laboratory, Cincinnati, OH. 



Status: Original



Condition: Excellent"
1677785123-308,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,EX0001,https://digital.libraries.uc.edu/oesper/museum/case14/shelf_01/EX0001/index.php,"Location: Case 14, Separations and Extractions (Top shelf, center background)



Item: No. EX0001, Separatory funnel


Dimensions: Funnel only: 41/4"" x 41/4"" x 121/2""



Period Represented: c. 1890 




Source: Donated by the Oberlin College Chemistry Department



Status: Original



Condition: Excellent"
1677785125-309,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SD0001,https://digital.libraries.uc.edu/oesper/museum/case14/shelf_01/SD0001/index.php,"Location: Case 14, Separations and Extractions (Top shelf, left)



Item: No. SD0001, Glazed earthenware sedimentation vat


Dimensions: 91/2"" x 111/2"" x 14"" 



Period Represented: c. 1890 




Source: Donated by the Oberlin Historical Society 



Status: Original



Condition: Excellent"
1677785127-310,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,HD0001-HD0002,https://digital.libraries.uc.edu/oesper/museum/case15/shelf_01/HD0001-HD0002/index.php,"Location: Case 15, Hardware (top shelf, far left, and bottom shelf, far right)



Item: No. HD0001-HD0002, Metal stands with assorted rings



Dimensions: Rectangular based stand: 5""x 8"" x 241⁄4""; Circular based stand: 51⁄2"" x 51⁄2"" x 221⁄2"";  Rings: 71⁄2"" - 91⁄2"" in length 



Period Represented: Rectangular base: c. 1880; Circular base (also known as a retort stand): c. 1850;




Source: Oesper Purchase



Status: Original



Condition: Good. Some corrosion and pitting"
1677785129-311,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,RF0003,https://digital.libraries.uc.edu/oesper/museum/case20/shelf_01/RF0003/index.php,"Location: Case 20, Instrumentation I (Top shelf, right)



Item: No. RF0003, Bausch & Lomb refractometer with water jacket


Dimensions: Sans thermometer extension: 51⁄2"" x 51⁄2"" x 111⁄4""



Period Represented: c. 1920



Manufacturer: Stamped on cross bar: Bausch & Lomb Optical Co., Rochester, USA, No. 9387



Source: Donated by the DePauw University Chemistry Department



Status: Original



Condition: Very Good. Some tarnishing of unpainted surfaces"
1677785131-312,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,RF0002,https://digital.libraries.uc.edu/oesper/museum/case20/shelf_01/RF0002/index.php,"Location: Case 20, Instrumentation I (Top shelf, left)



Item: No. RF0002, Pulfrich refractometer



Inventor: F. Kohlrausch, 1882, 1892


Dimensions: 61⁄2"" x 61⁄2"" x 14""



Period Represented: c. 1890



Manufacturer: Etched on scale wheel: Max Wolz, Bonn, 2388



Source: Donated by the Oberlin College Chemistry Department



Status: Original



Condition: Fair. Lens for light source is broken, extensive chipping of black enamel paint and tarnishing of unpainted surfaces, thermometer mount is missing"
1677785133-313,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,RF0001,https://digital.libraries.uc.edu/oesper/museum/case20/shelf_01/RF0001/index.php,"Location: Case 20, Instrumentation I (Top shelf, center)



Item: No. RF0001, Abbe refractometer



Inventor: Ernst Abbe, 1874


Dimensions: 31⁄2"" x 4"" x 11""



Period Represented: c. 1880



Manufacturer: Etched on base: Carl Zeiss, Jena, Nr. 4225



Source: Donated by Bert Ramsay, Eastern Michigan University-Ypsilanti



Status: Original



Condition: Very Good. Some tarnishing of unpainted surfaces"
1677785135-314,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,SG0006-SG0009,https://digital.libraries.uc.edu/oesper/museum/case05/shelf_01/SG0006-SG0009/index.php,"Location: Case 05, Specific Gravity and Volumetric Apparatus (Top shelf, center front)



Item: No. SG0006-SG0009, Assorted pycnometers


Dimensions: Largest: 11⁄4"" x 7""; smallest: 1"" x 21⁄2""  



Period Represented: c. 1900 - 1920 




Source: Donated by the Tanners’ Laboratory, Cincinnati, OH 



Status: Original



Condition: Excellent"
1677785137-315,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,PS0003,https://digital.libraries.uc.edu/oesper/museum/case20/shelf_03/PS0003/index.php,"Location: Case 20, Instrumentation I (Bottom shelf, right foreground)



Item: No. PS0003, Large mounted crystal of iceland spar with printed sign to illustrate double refraction


Dimensions: 51⁄4"" x 91⁄2"" x 5""



Period Represented: c. 1870




Source: Donated by the University of Cincinnati Physics Department



Status: Original



Condition: Excellent"
1677785139-316,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,PS0002,https://digital.libraries.uc.edu/oesper/museum/case20/shelf_03/PS0002/index.php,"Location: Case 20, Instrumentation I (Bottom shelf, left foreground)



Item: No. PS0002, Hand-held polarizers


Dimensions: 2"" x 51⁄2""



Period Represented: c. 1920




Source: Donated by Richard Davis, College of Mount St. Joseph, Cincinnati, OH 



Status: Original



Condition: Very good. Some tarnishing of wires and lens mounts"
1677785141-317,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,PS0001,https://digital.libraries.uc.edu/oesper/museum/case20/shelf_03/PS0001/index.php,"Location: Case 20, Instrumentation I  (Bottom shelf)



Item: No. PS0001, Polariscope with constant temperature bath



Inventor: Eilhard Mitscherlich, 1844


Dimensions: 9"" x 17"" x 33""



Period Represented: c. 1890



Manufacturer: Etched above eyepiece: Franz Schmidt & Haensch, Berlin S



Source: Donated by the Tanner's Laboratory, Cincinnati, OH.



Status: Original



Condition: Good. Some chipping of black paint and corrosion on the gas fixture for the sodium light source"
1677785143-318,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,PN0025,https://digital.libraries.uc.edu/oesper/museum/case13/shelf_03/PN0025/index.php,"Location: Case 13, Pneumatic Chemistry III (Bottom shelf, far right)



Item: No. PN0025, Pneumatic trough with porcelain beehive stand and collection bottle


Dimensions: Beehive only: 2"" x 31/2"" x 31/2""



Period Represented: c. 1900 




Source: Donated by the De Pauw University Chemistry Department



Status: Original



Condition: Excellent"
1677785145-319,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,PN0024,https://digital.libraries.uc.edu/oesper/museum/case13/shelf_03/PN0024/index.php,"Location: Case 13, Pneumatic Chemistry III (Bottom shelf, right)



Item: No. PN0024, Porcelain pneumatic trough with collection bottle


Dimensions: 23/4"" x 5"" x 8""



Period Represented: c. 1850 



Source: Donated by the University of Wisconsin-Madison Chemistry Department 



Status: Original



Condition: Excellent"
1677785147-320,https://digital.libraries.uc.edu/oesper/indices/artifacts.html,PN0023,https://digital.libraries.uc.edu/oesper/museum/case13/shelf_03/PN0023/index.php,"Location: Case 13, Pneumatic Chemistry III (Bottom shelf, left)



Item: No. PN0023, Galvanized metal pneumatic trough with collection bottle


Dimensions: 4"" x 7"" x 10""



Period Represented: c. 1920 




Source: Donated by the University of Cincinnati Department of Chemistry 



Status: Original



Condition: Good. Some surface corrosion"
